country,city,latitude,longitude,AQI Value,AQI Category,CO AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value,CO AQI Category,Ozone AQI Category,NO2 AQI Category,PM2.5 AQI Category,pollutant,value,unit,averaged_over_in_hours,hour,day_of_week,month,traffic_pollution_proxy
India,Rajgir,0.25,25.0328,154,Unhealthy,3,100,2,154,Good,Unhealthy for Sensitive Groups,Good,Unhealthy,co,960.0,µg/m³,85.41948,23,3,5,5
India,Rajgir,0.25,25.0328,154,Unhealthy,3,100,2,154,Good,Unhealthy for Sensitive Groups,Good,Unhealthy,co,1200.0,µg/m³,85.41948,22,2,5,5
India,Rajgir,0.25,25.0328,154,Unhealthy,3,100,2,154,Good,Unhealthy for Sensitive Groups,Good,Unhealthy,co,350.0,µg/m³,85.41948,5,0,5,5
India,Rajgir,0.25,25.0328,154,Unhealthy,3,100,2,154,Good,Unhealthy for Sensitive Groups,Good,Unhealthy,co,1030.0,µg/m³,85.41948,21,5,5,5
India,Rajgir,0.25,25.0328,154,Unhealthy,3,100,2,154,Good,Unhealthy for Sensitive Groups,Good,Unhealthy,co,1350.0,µg/m³,85.41948,9,1,5,5
India,Rajgir,0.25,25.0328,154,Unhealthy,3,100,2,154,Good,Unhealthy for Sensitive Groups,Good,Unhealthy,co,820.0,µg/m³,85.41948,2,0,5,5
India,Rajgir,0.25,25.0328,154,Unhealthy,3,100,2,154,Good,Unhealthy for Sensitive Groups,Good,Unhealthy,co,860.0,µg/m³,85.41948,22,3,5,5
India,Rajgir,0.25,25.0328,154,Unhealthy,3,100,2,154,Good,Unhealthy for Sensitive Groups,Good,Unhealthy,co,790.0,µg/m³,85.41948,7,0,5,5
India,Rajgir,0.25,25.0328,154,Unhealthy,3,100,2,154,Good,Unhealthy for Sensitive Groups,Good,Unhealthy,co,1060.0,µg/m³,85.41948,14,5,5,5
India,Rajgir,0.25,25.0328,154,Unhealthy,3,100,2,154,Good,Unhealthy for Sensitive Groups,Good,Unhealthy,co,1200.0,µg/m³,85.41948,17,4,4,5
India,Rajgir,0.25,25.0328,154,Unhealthy,3,100,2,154,Good,Unhealthy for Sensitive Groups,Good,Unhealthy,co,2260.0,µg/m³,85.41948,15,2,4,5
India,Rajgir,0.25,25.0328,154,Unhealthy,3,100,2,154,Good,Unhealthy for Sensitive Groups,Good,Unhealthy,o3,14.6,µg/m³,85.41948,22,1,5,5
India,Rajgir,0.25,25.0328,154,Unhealthy,3,100,2,154,Good,Unhealthy for Sensitive Groups,Good,Unhealthy,o3,65.4,µg/m³,85.41948,18,6,5,5
India,Rajgir,0.25,25.0328,154,Unhealthy,3,100,2,154,Good,Unhealthy for Sensitive Groups,Good,Unhealthy,o3,29.9,µg/m³,85.41948,23,3,3,5
India,Rajgir,0.25,25.0328,154,Unhealthy,3,100,2,154,Good,Unhealthy for Sensitive Groups,Good,Unhealthy,o3,94.1,µg/m³,85.41948,10,5,5,5
India,Rajgir,0.25,25.0328,154,Unhealthy,3,100,2,154,Good,Unhealthy for Sensitive Groups,Good,Unhealthy,o3,61.2,µg/m³,85.41948,3,6,4,5
India,Rajgir,0.25,25.0328,154,Unhealthy,3,100,2,154,Good,Unhealthy for Sensitive Groups,Good,Unhealthy,o3,60.4,µg/m³,85.41948,7,0,5,5
India,Rajgir,0.25,25.0328,154,Unhealthy,3,100,2,154,Good,Unhealthy for Sensitive Groups,Good,Unhealthy,o3,81.1,µg/m³,85.41948,4,5,5,5
India,Rajgir,0.25,25.0328,154,Unhealthy,3,100,2,154,Good,Unhealthy for Sensitive Groups,Good,Unhealthy,o3,95.3,µg/m³,85.41948,7,4,5,5
India,Rajgir,0.25,25.0328,154,Unhealthy,3,100,2,154,Good,Unhealthy for Sensitive Groups,Good,Unhealthy,o3,27.6,µg/m³,85.41948,3,0,4,5
India,Rajgir,0.25,25.0328,154,Unhealthy,3,100,2,154,Good,Unhealthy for Sensitive Groups,Good,Unhealthy,co,540.0,µg/m³,85.41948,14,6,5,5
India,Rajgir,0.25,25.0328,154,Unhealthy,3,100,2,154,Good,Unhealthy for Sensitive Groups,Good,Unhealthy,co,1190.0,µg/m³,85.41948,17,2,4,5
India,Rajgir,0.25,25.0328,154,Unhealthy,3,100,2,154,Good,Unhealthy for Sensitive Groups,Good,Unhealthy,co,1040.0,µg/m³,85.41948,16,3,5,5
India,Rajgir,0.25,25.0328,154,Unhealthy,3,100,2,154,Good,Unhealthy for Sensitive Groups,Good,Unhealthy,co,650.0,µg/m³,85.41948,18,0,5,5
India,Rajgir,0.25,25.0328,154,Unhealthy,3,100,2,154,Good,Unhealthy for Sensitive Groups,Good,Unhealthy,co,1320.0,µg/m³,85.41948,4,2,5,5
India,Rajgir,0.25,25.0328,154,Unhealthy,3,100,2,154,Good,Unhealthy for Sensitive Groups,Good,Unhealthy,co,1720.0,µg/m³,85.41948,0,4,4,5
India,Rajgir,0.25,25.0328,154,Unhealthy,3,100,2,154,Good,Unhealthy for Sensitive Groups,Good,Unhealthy,co,1040.0,µg/m³,85.41948,1,1,5,5
India,Rajgir,0.25,25.0328,154,Unhealthy,3,100,2,154,Good,Unhealthy for Sensitive Groups,Good,Unhealthy,co,1130.0,µg/m³,85.41948,18,5,5,5
India,Rajgir,0.25,25.0328,154,Unhealthy,3,100,2,154,Good,Unhealthy for Sensitive Groups,Good,Unhealthy,co,600.0,µg/m³,85.41948,13,6,5,5
India,Rajgir,0.25,25.0328,154,Unhealthy,3,100,2,154,Good,Unhealthy for Sensitive Groups,Good,Unhealthy,co,1090.0,µg/m³,85.41948,5,1,5,5
India,Darbhanga,0.25,26.15146,247,Very Unhealthy,3,162,1,247,Good,Unhealthy,Good,Very Unhealthy,co,1170.0,µg/m³,85.89342,20,2,4,4
India,Darbhanga,0.25,26.15146,247,Very Unhealthy,3,162,1,247,Good,Unhealthy,Good,Very Unhealthy,co,980.0,µg/m³,85.89342,7,5,5,4
India,Darbhanga,0.25,26.15146,247,Very Unhealthy,3,162,1,247,Good,Unhealthy,Good,Very Unhealthy,co,780.0,µg/m³,85.89342,11,3,5,4
India,Darbhanga,0.25,26.15146,247,Very Unhealthy,3,162,1,247,Good,Unhealthy,Good,Very Unhealthy,co,900.0,µg/m³,85.89342,21,3,5,4
India,Darbhanga,0.25,26.15146,247,Very Unhealthy,3,162,1,247,Good,Unhealthy,Good,Very Unhealthy,co,890.0,µg/m³,85.89342,11,4,5,4
India,Darbhanga,0.25,26.15146,247,Very Unhealthy,3,162,1,247,Good,Unhealthy,Good,Very Unhealthy,co,1080.0,µg/m³,85.89342,4,6,5,4
India,Darbhanga,0.25,26.15146,247,Very Unhealthy,3,162,1,247,Good,Unhealthy,Good,Very Unhealthy,co,1000.0,µg/m³,85.89342,14,1,5,4
India,Darbhanga,0.25,26.15146,247,Very Unhealthy,3,162,1,247,Good,Unhealthy,Good,Very Unhealthy,co,1060.0,µg/m³,85.89342,23,3,3,4
India,Darbhanga,0.25,26.15146,247,Very Unhealthy,3,162,1,247,Good,Unhealthy,Good,Very Unhealthy,co,1270.0,µg/m³,85.89342,15,2,5,4
India,Darbhanga,0.25,26.15146,247,Very Unhealthy,3,162,1,247,Good,Unhealthy,Good,Very Unhealthy,co,880.0,µg/m³,85.89342,3,2,5,4
India,Darbhanga,0.25,26.15146,247,Very Unhealthy,3,162,1,247,Good,Unhealthy,Good,Very Unhealthy,co,1690.0,µg/m³,85.89342,3,0,5,4
India,Darbhanga,0.25,26.15146,247,Very Unhealthy,3,162,1,247,Good,Unhealthy,Good,Very Unhealthy,co,1120.0,µg/m³,85.89342,5,1,5,4
India,Darbhanga,0.25,26.15146,247,Very Unhealthy,3,162,1,247,Good,Unhealthy,Good,Very Unhealthy,co,920.0,µg/m³,85.89342,1,2,5,4
India,Darbhanga,0.25,26.15146,247,Very Unhealthy,3,162,1,247,Good,Unhealthy,Good,Very Unhealthy,co,900.0,µg/m³,85.89342,18,5,5,4
India,Darbhanga,0.25,26.15146,247,Very Unhealthy,3,162,1,247,Good,Unhealthy,Good,Very Unhealthy,co,1480.0,µg/m³,85.89342,17,3,5,4
India,Darbhanga,0.25,26.15146,247,Very Unhealthy,3,162,1,247,Good,Unhealthy,Good,Very Unhealthy,o3,19.9,µg/m³,85.89342,17,5,5,4
India,Darbhanga,0.25,26.15146,247,Very Unhealthy,3,162,1,247,Good,Unhealthy,Good,Very Unhealthy,o3,11.9,µg/m³,85.89342,17,2,5,4
India,Darbhanga,0.25,26.15146,247,Very Unhealthy,3,162,1,247,Good,Unhealthy,Good,Very Unhealthy,o3,27.7,µg/m³,85.89342,2,5,5,4
India,Darbhanga,0.25,26.15146,247,Very Unhealthy,3,162,1,247,Good,Unhealthy,Good,Very Unhealthy,o3,49.2,µg/m³,85.89342,10,3,4,4
India,Darbhanga,0.25,26.15146,247,Very Unhealthy,3,162,1,247,Good,Unhealthy,Good,Very Unhealthy,o3,73.5,µg/m³,85.89342,10,2,5,4
India,Darbhanga,0.25,26.15146,247,Very Unhealthy,3,162,1,247,Good,Unhealthy,Good,Very Unhealthy,o3,25.2,µg/m³,85.89342,0,6,5,4
